property_record_id,detail_file,pre_github_formal_statement_sha256,github_safe_formal_statement_sha256,normalized_github_safe_statement_sha256,normalized_exact_match
PR-C01-001,CASE_01_POLYNOMIAL_ADDITION.md,7871f39c69cc88fcff21681740c2ab2a607efcae9d0fe315217262eed2b5e1f2,7871f39c69cc88fcff21681740c2ab2a607efcae9d0fe315217262eed2b5e1f2,7871f39c69cc88fcff21681740c2ab2a607efcae9d0fe315217262eed2b5e1f2,YES
PR-C01-002,CASE_01_POLYNOMIAL_ADDITION.md,fa744997ecbebd15205df692141eca0c27d4b438955fa6e8656e606a7fa1c2da,fa744997ecbebd15205df692141eca0c27d4b438955fa6e8656e606a7fa1c2da,fa744997ecbebd15205df692141eca0c27d4b438955fa6e8656e606a7fa1c2da,YES
PR-C01-003,CASE_01_POLYNOMIAL_ADDITION.md,95b5b7d2e6798ea2fcf5c1d2613d6c76b8a6d0579940f72c3bebb8d4ec0f6f98,1aaba481822d7afc5a38c90df42c1ce3885782fc71ed8edb74c736ee0510d6d3,95b5b7d2e6798ea2fcf5c1d2613d6c76b8a6d0579940f72c3bebb8d4ec0f6f98,YES
PR-C01-004,CASE_01_POLYNOMIAL_ADDITION.md,6c4435dd57232d93c62b4cdf629f93d9c7f174c1e8ac00019f930c7b06ce0608,6c4435dd57232d93c62b4cdf629f93d9c7f174c1e8ac00019f930c7b06ce0608,6c4435dd57232d93c62b4cdf629f93d9c7f174c1e8ac00019f930c7b06ce0608,YES
PR-C01-005,CASE_01_POLYNOMIAL_ADDITION.md,9314b9eb2e7669635147afe1102fd79ba42c96b067025b11ec559cc079e067ea,9314b9eb2e7669635147afe1102fd79ba42c96b067025b11ec559cc079e067ea,9314b9eb2e7669635147afe1102fd79ba42c96b067025b11ec559cc079e067ea,YES
PR-C01-006,CASE_01_POLYNOMIAL_ADDITION.md,e116fbe53f98c2e90d9634936cf472e7776b9365364463997dc95bd19236160e,e116fbe53f98c2e90d9634936cf472e7776b9365364463997dc95bd19236160e,e116fbe53f98c2e90d9634936cf472e7776b9365364463997dc95bd19236160e,YES
PR-C01-007,CASE_01_POLYNOMIAL_ADDITION.md,b39635681540d82e8d23a0f9a1a3a4741b285af2bb1df30f749c5fa476aba683,b39635681540d82e8d23a0f9a1a3a4741b285af2bb1df30f749c5fa476aba683,b39635681540d82e8d23a0f9a1a3a4741b285af2bb1df30f749c5fa476aba683,YES
PR-C01-008,CASE_01_POLYNOMIAL_ADDITION.md,97fde45fb087202bb6885418757574a77a10effa89a1023ce6a1cc61f0270474,97fde45fb087202bb6885418757574a77a10effa89a1023ce6a1cc61f0270474,97fde45fb087202bb6885418757574a77a10effa89a1023ce6a1cc61f0270474,YES
PR-C01-009,CASE_01_POLYNOMIAL_ADDITION.md,e5768f0f7d6377d7f96cf7b73f9b31390599f6162bab233fb24efae1372a10bd,e5768f0f7d6377d7f96cf7b73f9b31390599f6162bab233fb24efae1372a10bd,e5768f0f7d6377d7f96cf7b73f9b31390599f6162bab233fb24efae1372a10bd,YES
PR-C01-010,CASE_01_POLYNOMIAL_ADDITION.md,1aab81c886d5579776920a1e7d965981b5f24623335b32ec53d800efadaf191f,1aab81c886d5579776920a1e7d965981b5f24623335b32ec53d800efadaf191f,1aab81c886d5579776920a1e7d965981b5f24623335b32ec53d800efadaf191f,YES
