property_record_id,case_id,historical_id,result,evidence_locator_id,archive_name_resolved,archive_sha256,archive_evidence_path,archive_entry_sha256,archive_resolution_status,evidence_completeness
PR-C01-001,1,PA-01.B1,SUPPORTING_CONTROL,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-002,1,PA-01.B2,SUPPORTING_CONTROL,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-003,1,PA-01.P1,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-004,1,PA-01.P2,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-005,1,PA-01.P3,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-006,1,PA-01.P4,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-007,1,PA-01.P5A,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-008,1,PA-01.P5B,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-009,1,PA-01.P5C,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
PR-C01-010,1,PA-01.P6,SUPPORTED,LOC-C01-UA,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,PARTIAL
