property_record_id,case_id,historical_id,archive_evidence_path,resolved_public_evidence_path,expected_sha256,actual_sha256,candidate_count,status
PR-C01-001,1,PA-01.B1,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-002,1,PA-01.B2,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-003,1,PA-01.P1,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-004,1,PA-01.P2,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-005,1,PA-01.P3,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-006,1,PA-01.P4,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-007,1,PA-01.P5A,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-008,1,PA-01.P5B,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-009,1,PA-01.P5C,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
PR-C01-010,1,PA-01.P6,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,11,RESOLVED_HASH_MATCH
