input_a	target_quotient	input_multiplier_lower	input_multiplier_upper	global_lower	global_upper
-32768	-10	19457	21504	19457	21504
-32766	-10	19458	21505	19458	21504
-32764	-10	19459	21506	19459	21504
-32762	-10	19460	21507	19460	21504
-32761	-10	19461	21508	19461	21504
-32759	-10	19462	21509	19462	21504
-32757	-10	19463	21511	19463	21504
-32756	-10	19464	21511	19464	21504
-32754	-10	19465	21513	19465	21504
-32752	-10	19466	21514	19466	21504
-32751	-10	19467	21515	19467	21504
-32749	-10	19468	21516	19468	21504
-32747	-10	19469	21517	19469	21504
-32746	-10	19470	21518	19470	21504
-32744	-10	19471	21519	19471	21504
-32742	-10	19472	21521	19472	21504
-32741	-10	19473	21521	19473	21504
-32739	-10	19474	21523	19474	21504
-32737	-10	19475	21524	19475	21504
-32736	-10	19476	21525	19476	21504
-32734	-10	19477	21526	19477	21504
-32732	-10	19478	21527	19478	21504
-32730	-10	19479	21528	19479	21504
-32729	-10	19480	21529	19480	21504
-32727	-10	19481	21530	19481	21504
-32725	-10	19482	21532	19482	21504
-32724	-10	19483	21532	19483	21504
-32722	-10	19484	21534	19484	21504
-32720	-10	19485	21535	19485	21504
-32719	-10	19486	21536	19486	21504
-32717	-10	19487	21537	19487	21504
-32715	-10	19488	21538	19488	21504
-32714	-10	19489	21539	19489	21504
-32712	-10	19490	21540	19490	21504
-32710	-10	19491	21542	19491	21504
-32709	-10	19492	21542	19492	21504
-32707	-10	19493	21544	19493	21504
-32705	-10	19494	21545	19494	21504
-32704	-10	19495	21546	19495	21504
-32702	-10	19496	21547	19496	21504
-32700	-10	19497	21548	19497	21504
-32699	-10	19498	21549	19498	21504
-32697	-10	19499	21550	19499	21504
-32695	-10	19500	21552	19500	21504
-32694	-10	19501	21552	19501	21504
-32692	-10	19502	21553	19502	21504
-32690	-10	19503	21555	19503	21504
-32689	-10	19504	21555	19504	21504
-32687	-10	19505	21557	19505	21504
-32685	-10	19506	21558	19506	21504
-32684	-10	19507	21559	19507	21504
-32682	-10	19508	21560	19508	21504
-32680	-10	19509	21561	19509	21504
-32678	-10	19510	21563	19510	21504
-32677	-10	19511	21563	19511	21504
-32675	-10	19512	21565	19512	21504
-32673	-10	19513	21566	19513	21504
-32672	-10	19514	21567	19514	21504
-32670	-10	19515	21568	19515	21504
-32668	-10	19516	21569	19516	21504
-32667	-10	19517	21570	19517	21504
-32665	-10	19518	21571	19518	21504
-32663	-10	19519	21573	19519	21504
-32662	-10	19520	21573	19520	21504
-32660	-10	19521	21575	19521	21504
-32658	-10	19522	21576	19522	21504
-32657	-10	19523	21577	19523	21504
-32655	-10	19524	21578	19524	21504
-32653	-10	19525	21579	19525	21504
-32652	-10	19526	21580	19526	21504
-32650	-10	19527	21581	19527	21504
-32648	-10	19528	21583	19528	21504
-32647	-10	19529	21583	19529	21504
-32645	-10	19530	21585	19530	21504
-32643	-10	19531	21586	19531	21504
-32642	-10	19532	21587	19532	21504
-32640	-10	19533	21588	19533	21504
-32638	-10	19534	21589	19534	21504
-32637	-10	19535	21590	19535	21504
-32635	-10	19536	21591	19536	21504
-32633	-10	19537	21592	19537	21504
-32632	-10	19538	21593	19538	21504
-32630	-10	19539	21594	19539	21504
-32628	-10	19540	21596	19540	21504
-32627	-10	19541	21596	19541	21504
-32625	-10	19542	21598	19542	21504
-32623	-10	19543	21599	19543	21504
-32622	-10	19544	21600	19544	21504
-32620	-10	19545	21601	19545	21504
-32618	-10	19546	21602	19546	21504
-32617	-10	19547	21603	19547	21504
-32615	-10	19548	21604	19548	21504
-32613	-10	19549	21606	19549	21504
-32612	-10	19550	21606	19550	21504
-32610	-10	19551	21608	19551	21504
-32608	-10	19552	21609	19552	21504
-32607	-10	19553	21610	19553	21504
-32605	-10	19554	21611	19554	21504
-32603	-10	19555	21612	19555	21504
-32602	-10	19556	21613	19556	21504
-32600	-10	19557	21614	19557	21504
-32598	-10	19558	21616	19558	21504
-32597	-10	19559	21616	19559	21504
-32595	-10	19560	21618	19560	21504
-32593	-10	19561	21619	19561	21504
-32592	-10	19562	21620	19562	21504
-32590	-10	19563	21621	19563	21504
-32588	-10	19564	21622	19564	21504
-32587	-10	19565	21623	19565	21504
-32585	-10	19566	21624	19566	21504
-32583	-10	19567	21626	19567	21504
-32582	-10	19568	21626	19568	21504
-32580	-10	19569	21628	19569	21504
-32578	-10	19570	21629	19570	21504
-32577	-10	19571	21630	19571	21504
-32575	-10	19572	21631	19572	21504
-32573	-10	19573	21632	19573	21504
-32572	-10	19574	21633	19574	21504
-32570	-10	19575	21634	19575	21504
-32568	-10	19576	21636	19576	21504
-32567	-10	19577	21636	19577	21504
-32565	-10	19578	21638	19578	21504
-32563	-10	19579	21639	19579	21504
-32562	-10	19580	21640	19580	21504
-32560	-10	19581	21641	19581	21504
-32558	-10	19582	21642	19582	21504
-32557	-10	19583	21643	19583	21504
-32555	-10	19584	21644	19584	21504
-32553	-10	19585	21646	19585	21504
-32552	-10	19586	21646	19586	21504
-32550	-10	19587	21648	19587	21504
-32548	-10	19588	21649	19588	21504
-32547	-10	19589	21650	19589	21504
-32545	-10	19590	21651	19590	21504
-32543	-10	19591	21652	19591	21504
-32542	-10	19592	21653	19592	21504
-32540	-10	19593	21654	19593	21504
-32538	-10	19594	21656	19594	21504
-32537	-10	19595	21656	19595	21504
-32535	-10	19596	21658	19596	21504
-32533	-10	19597	21659	19597	21504
-32532	-10	19598	21659	19598	21504
-32530	-10	19599	21661	19599	21504
-32528	-10	19600	21662	19600	21504
-32527	-10	19601	21663	19601	21504
-32525	-10	19602	21664	19602	21504
-32523	-10	19603	21665	19603	21504
-32522	-10	19604	21666	19604	21504
-32520	-10	19605	21667	19605	21504
-32518	-10	19606	21669	19606	21504
-32517	-10	19607	21669	19607	21504
-32515	-10	19608	21671	19608	21504
-32513	-10	19609	21672	19609	21504
-32512	-10	19610	21673	19610	21504
-32510	-10	19611	21674	19611	21504
-32509	-10	19612	21675	19612	21504
-32507	-10	19613	21676	19613	21504
-32505	-10	19614	21677	19614	21504
-32504	-10	19615	21678	19615	21504
-32502	-10	19616	21679	19616	21504
-32500	-10	19617	21681	19617	21504
-32499	-10	19618	21681	19618	21504
-32497	-10	19619	21683	19619	21504
-32495	-10	19620	21684	19620	21504
-32494	-10	19621	21685	19621	21504
-32492	-10	19622	21686	19622	21504
-32490	-10	19623	21687	19623	21504
-32489	-10	19624	21688	19624	21504
-32487	-10	19625	21690	19625	21504
-32485	-10	19626	21691	19626	21504
-32484	-10	19627	21692	19627	21504
-32482	-10	19628	21693	19628	21504
-32480	-10	19629	21694	19629	21504
-32479	-10	19630	21695	19630	21504
-32477	-10	19631	21696	19631	21504
-32475	-10	19632	21698	19632	21504
-32474	-10	19633	21698	19633	21504
