input_a	target_quotient	input_offset_lower	input_offset_upper	global_lower	global_upper
-32768	-10	-10518528	56590335	0	56590335
-32767	-10	-10538687	56570176	0	56570176
-32766	-10	-10558846	56550017	0	56550017
-32765	-10	-10579005	56529858	0	56529858
-32764	-10	-10599164	56509699	0	56509699
-32763	-10	-10619323	56489540	0	56489540
-32762	-10	-10639482	56469381	0	56469381
-32761	-10	-10659641	56449222	0	56449222
-32760	-10	-10679800	56429063	0	56429063
-32759	-10	-10699959	56408904	0	56408904
-32758	-10	-10720118	56388745	0	56388745
-32757	-10	-10740277	56368586	0	56368586
-32756	-10	-10760436	56348427	0	56348427
-32755	-10	-10780595	56328268	0	56328268
-32754	-10	-10800754	56308109	0	56308109
-32753	-10	-10820913	56287950	0	56287950
-32752	-10	-10841072	56267791	0	56267791
-32751	-10	-10861231	56247632	0	56247632
-32750	-10	-10881390	56227473	0	56227473
-32749	-10	-10901549	56207314	0	56207314
-32748	-10	-10921708	56187155	0	56187155
-32747	-10	-10941867	56166996	0	56166996
-32746	-10	-10962026	56146837	0	56146837
-32745	-10	-10982185	56126678	0	56126678
-32744	-10	-11002344	56106519	0	56106519
-32743	-10	-11022503	56086360	0	56086360
-32742	-10	-11042662	56066201	0	56066201
-32741	-10	-11062821	56046042	0	56046042
-32740	-10	-11082980	56025883	0	56025883
-32739	-10	-11103139	56005724	0	56005724
-32738	-10	-11123298	55985565	0	55985565
-32737	-10	-11143457	55965406	0	55965406
-32736	-10	-11163616	55945247	0	55945247
-32735	-10	-11183775	55925088	0	55925088
-32734	-10	-11203934	55904929	0	55904929
-32733	-10	-11224093	55884770	0	55884770
-32732	-10	-11244252	55864611	0	55864611
-32731	-10	-11264411	55844452	0	55844452
-32730	-10	-11284570	55824293	0	55824293
-32729	-10	-11304729	55804134	0	55804134
-32728	-10	-11324888	55783975	0	55783975
-32727	-10	-11345047	55763816	0	55763816
-32726	-10	-11365206	55743657	0	55743657
-32725	-10	-11385365	55723498	0	55723498
-32724	-10	-11405524	55703339	0	55703339
-32723	-10	-11425683	55683180	0	55683180
-32722	-10	-11445842	55663021	0	55663021
-32721	-10	-11466001	55642862	0	55642862
-32720	-10	-11486160	55622703	0	55622703
-32719	-10	-11506319	55602544	0	55602544
-32718	-10	-11526478	55582385	0	55582385
-32717	-10	-11546637	55562226	0	55562226
-32716	-10	-11566796	55542067	0	55542067
-32715	-10	-11586955	55521908	0	55521908
-32714	-10	-11607114	55501749	0	55501749
-32713	-10	-11627273	55481590	0	55481590
-32712	-10	-11647432	55461431	0	55461431
-32711	-10	-11667591	55441272	0	55441272
-32710	-10	-11687750	55421113	0	55421113
-32709	-10	-11707909	55400954	0	55400954
-32708	-10	-11728068	55380795	0	55380795
-32707	-10	-11748227	55360636	0	55360636
-32706	-10	-11768386	55340477	0	55340477
-32705	-10	-11788545	55320318	0	55320318
-32704	-10	-11808704	55300159	0	55300159
-32703	-10	-11828863	55280000	0	55280000
-32702	-10	-11849022	55259841	0	55259841
-32701	-10	-11869181	55239682	0	55239682
-32700	-10	-11889340	55219523	0	55219523
-32699	-10	-11909499	55199364	0	55199364
-32698	-10	-11929658	55179205	0	55179205
-32697	-10	-11949817	55159046	0	55159046
-32696	-10	-11969976	55138887	0	55138887
-32695	-10	-11990135	55118728	0	55118728
-32694	-10	-12010294	55098569	0	55098569
-32693	-10	-12030453	55078410	0	55078410
-32692	-10	-12050612	55058251	0	55058251
-32691	-10	-12070771	55038092	0	55038092
-32690	-10	-12090930	55017933	0	55017933
-32689	-10	-12111089	54997774	0	54997774
-32688	-10	-12131248	54977615	0	54977615
-32687	-10	-12151407	54957456	0	54957456
-32686	-10	-12171566	54937297	0	54937297
