CASE	RETURN_CODE	CLASSIFICATION	INVARIANT_MARKERS
FULL_COVER_ONLY	134	ABORT_RC134	3
FULL_COVER_TESTSUITE	134	ABORT_RC134	3
FULL_COVER_TESTSUITE_XML	134	ABORT_RC134	3
FULL_ORIGINAL_COMMAND	134	ABORT_RC134	3
01_symbolic_bool_COVER_ONLY	134	ABORT_RC134	3
01_symbolic_bool_TESTSUITE	134	ABORT_RC134	3
01_symbolic_bool_TESTSUITE_XML	134	ABORT_RC134	3
02_explicit_bool_true_COVER_ONLY	134	ABORT_RC134	3
02_explicit_bool_true_TESTSUITE	134	ABORT_RC134	3
02_explicit_bool_true_TESTSUITE_XML	134	ABORT_RC134	3
03_integer_true_COVER_ONLY	134	ABORT_RC134	3
03_integer_true_TESTSUITE	134	ABORT_RC134	3
03_integer_true_TESTSUITE_XML	134	ABORT_RC134	3
04_comparison_COVER_ONLY	134	ABORT_RC134	3
04_comparison_TESTSUITE	134	ABORT_RC134	3
04_comparison_TESTSUITE_XML	134	ABORT_RC134	3
05_original_shape_COVER_ONLY	134	ABORT_RC134	3
05_original_shape_TESTSUITE	134	ABORT_RC134	3
05_original_shape_TESTSUITE_XML	134	ABORT_RC134	3
