CASE	RETURN_CODE	CLASSIFICATION	INVARIANT_MARKERS
01_canonical_no_declaration_true_BASELINE	10	VERIFICATION_FAILURE_RC10	0
02_canonical_no_declaration_comparison_BASELINE	10	VERIFICATION_FAILURE_RC10	0
03_canonical_special_bool_BASELINE	10	VERIFICATION_FAILURE_RC10	0
04_c_bool_without_redeclaration_BASELINE	10	VERIFICATION_FAILURE_RC10	0
05_wrong_bool_redeclaration_BASELINE	10	VERIFICATION_FAILURE_RC10	0
06_wrong_int_redeclaration_BASELINE	10	VERIFICATION_FAILURE_RC10	0
01_canonical_no_declaration_true_COVER_ONLY	0	NORMAL_RC0	0
02_canonical_no_declaration_comparison_COVER_ONLY	0	NORMAL_RC0	0
03_canonical_special_bool_COVER_ONLY	0	NORMAL_RC0	0
04_c_bool_without_redeclaration_COVER_ONLY	0	NORMAL_RC0	0
01_canonical_no_declaration_true_TESTSUITE	0	NORMAL_RC0	0
02_canonical_no_declaration_comparison_TESTSUITE	0	NORMAL_RC0	0
03_canonical_special_bool_TESTSUITE	0	NORMAL_RC0	0
04_c_bool_without_redeclaration_TESTSUITE	0	NORMAL_RC0	0
05_wrong_bool_redeclaration_COVER_ONLY	134	ABORT_RC134	3
05_wrong_bool_redeclaration_TESTSUITE	134	ABORT_RC134	3
06_wrong_int_redeclaration_COVER_ONLY	134	ABORT_RC134	3
06_wrong_int_redeclaration_TESTSUITE	134	ABORT_RC134	3
