PROPERTY	STATUS	DESCRIPTION	FILE	LINE	FUNCTION
main.array_bounds.1	SUCCESS	array 'a'.coeffs upper bound in a.coeffs[(signed long int)k]	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	34	main
main.array_bounds.2	SUCCESS	array 'msg' upper bound in msg[(signed long int)(k >> 3)]	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	46	main
main.array_bounds.3	SUCCESS	array 'a'.coeffs upper bound in a.coeffs[(signed long int)k]	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	49	main
main.array_bounds.4	SUCCESS	array 'a'.coeffs upper bound in a.coeffs[(signed long int)selected]	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	62	main
main.array_bounds.5	SUCCESS	array 'msg' upper bound in msg[(signed long int)(selected >> 3)]	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	65	main
main.assertion.1	SUCCESS	MSG_T1_REACH_MODEL: polynomial degree must be 256	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	24	main
main.assertion.2	SUCCESS	MSG_T1_REACH_MODEL: message size must be 32 bytes	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	28	main
main.assertion.3	SUCCESS	MSG_T1_REACH_ANCHOR_EXACT: every output bit must match independent oracle	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	51	main
main.overflow.1	SUCCESS	arithmetic overflow on unsigned + in k + 1u	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	32	main
main.overflow.2	SUCCESS	arithmetic overflow on signed to unsigned type conversion in (unsigned int)((signed int)msg[(signed long int)(k >> 3)] >> (k & 7u))	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	46	main
main.overflow.3	SUCCESS	arithmetic overflow on unsigned to unsigned type conversion in (uint8_t)((unsigned int)((signed int)msg[(signed long int)(k >> 3)] >> (k & 7u)) & 1u)	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	46	main
main.overflow.4	SUCCESS	arithmetic overflow on unsigned + in k + 1u	/home/girish/THESIS-2026/mlk_poly_tomsg_cleanroom/MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595/frozen_reachability_family_v1/harnesses/msg_t1_reachability_harness.c	40	main
