path	success	failure	unknown
MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/06_results/msg_t2_r1_cbmc_result.json	525	0	0
MSG02C_R1_REACHABILITY_MUTATION_RUN1_20260723T115043Z_af4c5abdd595/06_mutation_results/msg_t2_r1_drop_b_mutation_result.json	0	1	0
MSG02D_R2A_COEFFICIENT_LOCALITY_RUN1_20260723T124247Z_af4c5abdd595/05_results/msg_t2_r2a_coefficient_locality_result.json	522	0	0
MSG02E_R2B_CROSS_BIT_PRESERVATION_RUN1_20260723T124630Z_af4c5abdd595/05_results/msg_t2_r2b_cross_bit_preservation_result.json	533	0	0
MSG02G_B_R2B_SECOND_COEFFICIENT_MUTATION_RUN1_20260723T131317Z_af4c5abdd595/05_results/msg_t2_r2b_second_coefficient_leak_mutation.json	0	1	0
MSG02G_R2A_EQUALITY_ANTECEDENT_MUTATION_RUN1_20260723T125615Z_af4c5abdd595/05_results/msg_t2_r2a_remove_selected_equality_mutation.json	0	1	0
MSG02H_R3A_SAME_DECISION_INVARIANCE_RUN1_20260723T131813Z_af4c5abdd595/05_results/msg_t2_r3a_same_decision_invariance_result.json	522	0	0
MSG02I_R3B_DETERMINISM_RUN1_20260723T132251Z_af4c5abdd595/05_results/msg_t2_r3b_determinism_result.json	520	0	0
MSG02K_R3A_OPPOSITE_DECISION_MUTATION_RUN1_20260723T133042Z_af4c5abdd595/05_results/msg_t2_r3a_opposite_decision_mutation.json	0	1	0
MSG02L_R3B_UNEQUAL_INPUT_MUTATION_RUN1_20260723T133447Z_af4c5abdd595/05_results/msg_t2_r3b_unequal_input_determinism_mutation.json	0	1	0
