entry_type	archive_path	uncompressed_size	compressed_size	crc32	unix_mode
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/	0	0	00000000	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/	0	0	00000000	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/commit_metadata.txt	289	230	c1821555	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/negative_mask_excerpt.txt	1057	589	89d955ae	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/poly_target_and_callsite_excerpt.txt	2320	941	16985171	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/relevant_source_sha256.txt	1202	607	c9b986b3	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/selector_excerpt.txt	1064	549	18f67e24	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/00_source_binding/source_binding.txt	408	273	517cee9b	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/01_verification_intent/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/01_verification_intent/verification_intent.json	3232	1381	8e4e4613	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/02_theorem_registry/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/02_theorem_registry/property_registry.tsv	873	219	b1df6c55	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/02_theorem_registry/theorem_registry.md	3397	1125	fc3fd987	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/03_assumptions_and_controls/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/03_assumptions_and_controls/assumptions.md	1753	918	99037793	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/03_assumptions_and_controls/control_registry.md	1225	598	a20f31db	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_barrett_harness.c	331	230	eddd25ad	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_barrett_Makefile.txt	2002	977	a575f675	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_overlap_boundary.md	1417	685	38e940da	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_poly_reduce_c_harness.c	366	243	70d402e6	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_poly_reduce_c_Makefile.txt	1291	732	167d2759	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_scalar_harness.c	405	267	2f8e07f3	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/04_native_overlap/native_scalar_Makefile.txt	2077	1014	841fdb2e	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/05_manifest/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/05_manifest/CANON00B_FREEZE_RECORD.txt	331	234	ffcd57ca	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/05_manifest/CANON00B_SHA256SUMS.txt	2094	1067	f1aa1156	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00B_af4c5abd/05_manifest/CANON00B_SHA256SUMS.txt.sha256	187	156	59391cd2	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/	0	0	00000000	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/00_source_snapshot/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/00_source_snapshot/mlkem-native_af4c5abd.tar	10240000	1147714	2b87bb6c	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/00_source_snapshot/relevant_source_verification.txt	458	142	5c2c4a59	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/00_source_snapshot/source_snapshot_metadata.txt	473	254	fe716c1a	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/00_source_snapshot/source_snapshot_tar.sha256	196	161	c090758f	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/	0	0	00000000	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.clang-format	1224	658	153d5905	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.clang-tidy	1780	960	9381d79e	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.envrc	273	219	a90df7f1	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actionlint.yaml	410	269	a9d8d594	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/	0	0	00000000	0
