producer_stage,output_key,declared_path,resolved_path,exists,declared_sha256,sha256,checksum_matches_manifest,checksum_declared,size_bytes
01_master_orchestrator,resolved_config,../../run_config.resolved.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/run_config.resolved.json,True,11f7b1b7767925c5563d7eb41a665b13166efca4adad5fd541b0d388662e4ed4,11f7b1b7767925c5563d7eb41a665b13166efca4adad5fd541b0d388662e4ed4,True,True,12081
01_master_orchestrator,workflow_plan,../../workflow_plan.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/workflow_plan.json,True,64cc53bc9485eab2bf5cbbdb84513c3643f29efb9e95f126589ae5a5d3b0ebc5,64cc53bc9485eab2bf5cbbdb84513c3643f29efb9e95f126589ae5a5d3b0ebc5,True,True,7514
01_master_orchestrator,run_manifest,../../run_manifest.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/run_manifest.json,True,4a2d67e766d0da821828c161ca5d4c2d2a8478b90142146b2545c255c928192f,4a2d67e766d0da821828c161ca5d4c2d2a8478b90142146b2545c255c928192f,True,True,3707
01_master_orchestrator,repository_provenance,control/repository_provenance.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/01_master_orchestrator/control/repository_provenance.json,True,83a1375612357b294c10c165ab55ca8e22a477525260f23483d5fdc68bdc216e,83a1375612357b294c10c165ab55ca8e22a477525260f23483d5fdc68bdc216e,True,True,1105
02_spec_extraction,spec_summary,llm_authoritative/01_spec_summary.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/02_spec_extraction/llm_authoritative/01_spec_summary.json,True,6b7fc75d88b763cde63a3193b3e50733644671d254ad82cdaa75fbf254d04b6f,6b7fc75d88b763cde63a3193b3e50733644671d254ad82cdaa75fbf254d04b6f,True,True,34142
02_spec_extraction,spec_summary_validation,validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/02_spec_extraction/validation/llm_call_validation.json,True,ff81d752764543c3908d9a2b3ff068dc57b88f731c90b03f9588d31422298e3c,ff81d752764543c3908d9a2b3ff068dc57b88f731c90b03f9588d31422298e3c,True,True,2141
03_code_understanding,code_summary,llm_authoritative/02_code_summary.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/03_code_understanding/llm_authoritative/02_code_summary.json,True,9c1031cfb33c83bbd62635577c36406c76c777498b7dc3f6dd11add6d8914d2f,9c1031cfb33c83bbd62635577c36406c76c777498b7dc3f6dd11add6d8914d2f,True,True,43687
03_code_understanding,code_summary_validation,validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/03_code_understanding/validation/llm_call_validation.json,True,e90352a517fb7f3024b7047e7986a3fa94e8e11f5a0d2fb3ffb0744d18b38437,e90352a517fb7f3024b7047e7986a3fa94e8e11f5a0d2fb3ffb0744d18b38437,True,True,2153
04_property_discovery,candidate_properties,validation/05_open_discovery_classified_candidates.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/04_property_discovery/validation/05_open_discovery_classified_candidates.json,True,0b860369012cbbf770380a04fe734c9d03b3d59d1fca1847c6b0141c5b58240c,0b860369012cbbf770380a04fe734c9d03b3d59d1fca1847c6b0141c5b58240c,True,True,35506
04_property_discovery,selected_property,validation/06_open_discovery_selected_property.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/04_property_discovery/validation/06_open_discovery_selected_property.json,True,7b16b1a96f73161baa60f8109cb7695f242722896632b5e1fea1ee7f705e8a19,7b16b1a96f73161baa60f8109cb7695f242722896632b5e1fea1ee7f705e8a19,True,True,3593
04_property_discovery,candidate_properties_validation,validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/04_property_discovery/validation/llm_call_validation.json,True,2177a2cb92610675e09708e954745b3876d596dfd908d5080a78d3913551a327,2177a2cb92610675e09708e954745b3876d596dfd908d5080a78d3913551a327,True,True,2154
