stage_key,agent,stage_type,stage_dir_exists,manifest_path,manifest_exists,manifest_sha256,manifest_error,manifest_stage,manifest_success,notes
01_master_orchestrator,Master Orchestrator,deterministic_control,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/01_master_orchestrator/stage_manifest.json,True,a4519595135e0146f5631abb598ea97faa3d91c6338802cd047b308199a3c92b,,,,"{'purpose': 'Current deterministic control-plane records.', 'refresh_reason': 'before_experiment_logger', 'mutable_control_files_refreshed_deliberately': True, 'root_level_stage_outputs_allowed': False}"
02_spec_extraction,Specification Extraction,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/02_spec_extraction/stage_manifest.json,True,f6e537d3f92bc6a55757bd0da2b3f05ab147a5bb86bc5e0b357546ece9396426,,,,"{'agent_version': 'agent2_spec_extraction_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
03_code_understanding,Code Understanding,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/03_code_understanding/stage_manifest.json,True,4f385b3270c7f535e5f8d64a7645ef562165bd8c9d7587346ea26456d57a19e0,,,,"{'agent_version': 'agent3_code_understanding_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
04_property_discovery,Property Discovery,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/04_property_discovery/stage_manifest.json,True,fc1ff53f4387ca715d1b850a0edac8f72d7eb775b8048e9e98c6dfae50cef0c0,,,,"{'agent_version': 'agent4_property_discovery_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'agent3_code_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
05_artifact_generation,Formal Artefact Generation,llm_backed_plus_rendering,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/05_artifact_generation/stage_manifest.json,True,89e41c56add645d79c66e309417a161b7bebb3f914e6806860c364014aba2d36,,,,"{'agent_version': 'agent5_artifact_generation_refactored.v1', 'deterministic_reference_policy': 'advisory_or_prohibited_copy_reference_only', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False}"
06_review_critic,Review/Critic,llm_backed_plus_gate,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/06_review_critic/stage_manifest.json,True,30ec81dffedbd57fe8d3a86977b8b138abd6a4044e9174d3b0c58e09740cbcfe,,,,"{'agent_version': 'agent6_review_critic_refactored.v2.iteration_contract', 'iteration': 0, 'selected_harness_path': '/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c', 'selected_harness_source': 'orchestrator_current_artifact', 'deterministic_reference_policy': 'diagnostic_advisory_gate_support', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False, 'final_gate': 'blocked_hard_tool_readiness_defect', 'tool_execution_allowed': False}"
07_tool_execution,Formal Tool Execution,deterministic_tool,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/07_tool_execution/stage_manifest.json,False,,missing,,,
08_counterexample_analysis,Counterexample Analysis,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/08_counterexample_analysis/stage_manifest.json,False,,missing,,,
09_repair_refinement,Repair/Refinement,llm_backed_plus_candidate_rendering,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/09_repair_refinement/stage_manifest.json,False,,missing,,,
10_experiment_logger,Experiment Logger,deterministic_logging,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/10_experiment_logger/stage_manifest.json,False,,missing,,,
11_evaluation_reporter,Evaluation Reporter,mixed_or_llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/11_evaluation_reporter/stage_manifest.json,False,,missing,,,
