authored_file,repository_file,authored_sha256,repository_sha256,exact_binary_duplicate,exact_normalized_text_duplicate,token_sequence_ratio,token_jaccard,significant_line_jaccard,mechanical_classification
pa02_mlk_poly_add_full_signed_contract_valid_harness.c,mlkem/src/poly.h,e83d521e23f93c2435058598be5ef245bb02c554a4b7992dd8844418720c2ce2,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,no,no,0.207357,0.194444,0.0,low-mechanical-overlap
pa06a_mlk_poly_add_polyvec_cross_parameter_harness.c,mlkem/src/poly.h,0941baf262a7a15c1f8be69a6c571c2727d4ab5de0ff16d0f3a364c8e3cb2ddd,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,no,no,0.182988,0.198864,0.0,low-mechanical-overlap
pa08b_mlk_poly_add_reachability_sentinel_harness.c,mlkem/src/poly.h,38fbbd821e2ac13c4a85fca813425b4cbafe15ec9f72ca54b85fce5599fc6428,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,no,no,0.178037,0.242424,0.0,low-mechanical-overlap
pa07_mlk_poly_add_mutant_implementation.c,proofs/cbmc/README.md,4a0a231c050013cd73fbb7b5a07237218decb1a58ae3f9007a465adaa35b01ff,2bfcf066dd68d747f3b283504be3e6aa9abb28d6d68a3cffcf4980706bdd349f,no,no,0.172672,0.152263,0.05,low-mechanical-overlap
pa07_mlk_poly_add_mutant_implementation.c,mlkem/src/poly.h,4a0a231c050013cd73fbb7b5a07237218decb1a58ae3f9007a465adaa35b01ff,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,no,no,0.169968,0.248062,0.013333,low-mechanical-overlap
pa05b_mlk_poly_add_indcpa_epp_callsite_harness.c,proofs/cbmc/README.md,8241d0631bb02aa7191e741fae1f2785e03e7c016b3a510dc74d7908c34ce7bc,2bfcf066dd68d747f3b283504be3e6aa9abb28d6d68a3cffcf4980706bdd349f,no,no,0.166297,0.133106,0.02,low-mechanical-overlap
pa08c_mlk_poly_add_upper_outside_boundary_harness.c,proofs/cbmc/poly_add/poly_add_harness.c,36f2a6c423e1303570d25019db0d538e13a1f50135ae0f11e798636537fb891d,ff4c40902b23a6a30c717f9381be5d5ba65cb027ed07489311ce4720c6bb9188,no,no,0.161638,0.234375,0.0,low-mechanical-overlap
pa04a_mlk_poly_add_alias_safe_doubling_harness.c,mlkem/src/poly.h,d03869edcf12179e98feff2d1ddb84025474a13ac133fc140040615eddd6d4a4,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,no,no,0.160907,0.203209,0.0,low-mechanical-overlap
pa05a_mlk_poly_add_polyvec_production_callsite_harness.c,mlkem/src/poly.h,ef23dd1db28254c88fcf9216759dce7cade46138dc5fc6c2e56a59bcf101a87e,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,no,no,0.159697,0.206061,0.0,low-mechanical-overlap
cleanroom_mlk_poly_add_fips_relational_harness_v2.c,mlkem/src/poly.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722,no,no,0.155952,0.198113,0.008734,low-mechanical-overlap
