id	sha256	authoritative	families	occurrence_count	grouped_file
H001	b72fb9ba4e7bc7557f341c08176df5312e12b7a6eee862b545745da9151e4733	NO	MSG-T1	1	unique/H001__msg_t1_exact_fips_candidate_v1__b72fb9ba4e7b.c
H002	fe556ce3cf00e8dbce12591fbb68c35739fe6e247bbcc170c60eb4554d2a7bff	NO	MSG-T1	1	unique/H002__msg_t1_exact_fips_candidate_v2__fe556ce3cf00.c
H003	bfaee9e4cb6c248ea549851eeac8f5e78381448bc76d7c56f3848e42b8342716	NO	MSG-T1	1	unique/H003__msg_t1_exact_fips_candidate_v3_scu__bfaee9e4cb6c.c
H004	5ce480427d7792b3dca091ac198b43562c4d4dfd6c9d96dae5a73e7ef1e72b55	YES	MSG-T1	10	unique/H004__msg_t1_exact_fips_candidate_v4__5ce480427d77.c
H005	1ca680bc6f7535353cf3898fc92438cb071657c565b6c5533badf8ee674cc38e	NO	MSG-T1	1	unique/H005__msg_t1_exact_fips_mutant__1ca680bc6f75.c
H006	aa320e9b25d9b246b3147f320d93daba6c552d4f91838346f4ea1a00537f70f2	NO	MSG-T1	1	unique/H006__msg_t1_exact_fips_mutant__aa320e9b25d9.c
H007	d659e4ad764ab38800317c2312f87a8426fac1031b6aae02ea28d39401112364	NO	MSG-T1	1	unique/H007__msg_t1_exact_fips_mutant__d659e4ad764a.c
H008	d6ef6f75c86f05a9981dfa263c039653fadcfed2819348607d936e5168a0ea3b	NO	MSG-T1	1	unique/H008__msg_t1_exact_fips_mutant__d6ef6f75c86f.c
H009	203cced3e7c3f3ee5e77c353cdfa4b08dec7f43400c408c68a9e9d48e4a94d7f	YES	MSG-T2	1	unique/H009__msg_t2_r1_drop_b_mutation_harness__203cced3e7c3.c
H010	0f5c51e8d2c86b5d0bbf3ee3a64aa68f49fcc68c5d7d96e47fb910156169f341	YES	MSG-T2	1	unique/H010__msg_t2_r1_reachability_harness__0f5c51e8d2c8.c
H011	2e2e635d7c148028fc3942b113b6a98b5835a63a3169cd2b341efa609fd73cc0	YES	MSG-T2	1	unique/H011__msg_t2_r1_relational_xor_harness__2e2e635d7c14.c
H012	279dfc12c981a62335ccbe135ab87672320971d52dfb29ffcadfbff4041d490f	YES	MSG-T2	1	unique/H012__msg_t2_r2a_coefficient_locality_harness__279dfc12c981.c
H013	2ee4c2b036c6ec7218e7a2a6abaa01c456841e8053f1deb2243d26f1963a4fd8	YES	MSG-T2	1	unique/H013__msg_t2_r2a_reachability_harness__2ee4c2b036c6.c
H014	f86d60a5224ce77f2adc01f3220358a79fcb287f121805c60070a443fd31d9c0	YES	MSG-T2	1	unique/H014__msg_t2_r2a_remove_selected_equality_mutation__f86d60a5224c.c
H015	ef87e45ce95604ef22036ab35097ecfc43cbf5234e34c952b4095121bd4da08d	YES	MSG-T2	1	unique/H015__msg_t2_r2b_cross_bit_preservation_harness__ef87e45ce956.c
H016	168cd0aee3feb9718db8ee01640fb4cfee49e70843643e430e6117c641ef43cb	YES	MSG-T2	1	unique/H016__msg_t2_r2b_reachability_harness__168cd0aee3fe.c
H017	7d5bb26fc8e74ae45f0118cd331ada22d98876dd59c83e68c21cfb02e4512b8b	YES	MSG-T2	1	unique/H017__msg_t2_r2b_second_coefficient_leak_mutation__7d5bb26fc8e7.c
H018	e6f5ae900f35abd9d96a7e0278edfb52b15a123c3ece78cbb13131abce85cb44	YES	MSG-T2	1	unique/H018__msg_t2_r3a_opposite_decision_mutation__e6f5ae900f35.c
H019	57a16169e1d6359bd072bb670ca3e7ca66c195ade6ae9a5519270f16c7c78de1	YES	MSG-T2	1	unique/H019__msg_t2_r3a_reachability_harness__57a16169e1d6.c
H020	1d4a28ae6855617872039e3102dbbafc5a13739301c1d9a71416db1ef823f851	YES	MSG-T2	1	unique/H020__msg_t2_r3a_same_decision_invariance_harness__1d4a28ae6855.c
H021	d82d9fc5b32140b4f681ca6a0dd4921c74a4e308a723a2b234a49a0f0bb46b46	YES	MSG-T2	1	unique/H021__msg_t2_r3b_determinism_harness__d82d9fc5b321.c
H022	61cca9cbeb19ed98e06ddb99553ee8587a36f8f0fcc9313ca2e68d7cd52423f4	YES	MSG-T2	1	unique/H022__msg_t2_r3b_reachability_harness__61cca9cbeb19.c
H023	662d31c878b8700bb944d85a7854e2d6b248693237d44e0f48cbe4aeb94163ac	YES	MSG-T2	1	unique/H023__msg_t2_r3b_unequal_input_determinism_mutation__662d31c878b8.c
H024	cb094974f6d2a8a88c13c2a1d9a4ec050eab4c67df985743d9e81c95c95f248e	YES	MSG-T5	1	unique/H024__msg_t5_exact_interval_sufficiency_harness__cb094974f6d2.c
H025	574acf0fee1957a8e8cf4c21ab25da9116bfd10ab0f10c704dc4ca87218b96ef	YES	MSG-T5	1	unique/H025__msg_t5_lower_adjacent_mutation__574acf0fee19.c
H026	f3afbde95324d13d0cc049e9cc7e365b7f115d44c0817d6ae7b62b3a9f549feb	YES	MSG-T5	1	unique/H026__msg_t5_outside_interval_necessity_harness__f3afbde95324.c
H027	84584e5db9de2d1c5311a193b7810fe2c241a28c130ca69e2af6c282b225a82b	YES	MSG-T5	1	unique/H027__msg_t5_parameterized_model_binding_harness__84584e5db9de.c
H028	fa12e594ff64e1c53fe36fa9aa5875cf8b129f1d2a088b3664e9f6fae9324a4b	YES	MSG-T5	1	unique/H028__msg_t5_partition_reachability_harness__fa12e594ff64.c
H029	8ca92298c4238cbefac96724993da3d870c63b7ab169106a4bf39586d5caadc2	YES	MSG-T5	1	unique/H029__msg_t5_upper_adjacent_mutation__8ca92298c423.c
